AN->A,N	AU->A,U	AUN->N,AU	AUN->U,AN	EA->A,E	EAN->A,EN	EAN->E,AN	EAN->N,EA	EAS->A,ES	EAUN->A,EUN	EAUN->E,AUN	EAUN->N,EAU	EAUNS->N,EAUS	EAUN->U,EAN	EAU->U,EA	EN->E,N	ENS->N,ES
1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
2	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0
3	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0
4	1	1	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0
5	1	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0
6	1	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0
7	2	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0
8	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
9	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
10	2	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0
11	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0
13	2	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0
14	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
15	2	0	0	0	2	0	1	2	0	0	0	0	0	0	1	0	0
16	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0
17	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0
18	2	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0
19	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0
20	1	0	0	0	0	2	1	0	0	0	1	0	0	0	1	0	0
21	1	0	0	0	0	3	1	0	0	0	0	0	0	0	1	1	0
22	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
23	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0
24	2	0	0	0	2	0	0	1	0	0	0	0	0	0	1	1	0
25	1	0	0	0	2	0	1	1	0	0	0	0	0	1	0	0	0
26	2	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0
27	1	1	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0
28	1	0	0	0	2	1	0	1	0	0	0	0	0	0	1	0	0
29	2	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1
30	2	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0
31	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0
32	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
33	1	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0
34	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
35	1	0	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0
36	1	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
37	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0
38	2	0	0	1	4	0	0	1	0	0	0	0	0	0	0	0	0
39	2	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0
40	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
41	2	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0
42	2	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0
43	1	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0
44	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0
45	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	2	0
46	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
47	2	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0
48	1	0	0	0	2	1	0	1	0	0	0	0	0	1	0	1	0
49	2	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0
50	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
